name,description,status,due_date,start_date,tags,parent
Campanha WhatsApp — Mensagens,Objetivo: Mensagens (WhatsApp). Estrutura de campanha para Vermezzo.,APROVAÇÃO,2025-10-20,2025-10-20,"meta,whatsapp,campaign",
Conjunto de Anúncios — Público automático,Público: Automático (Meta escolhe). Orçamento definido no conjunto. Posicionamentos: Automáticos.,APROVAÇÃO,2025-10-20,2025-10-20,"meta,adset,setup",Campanha WhatsApp — Mensagens
Anúncio 1 — Vídeo + texto 1 + CTA WhatsApp,Criar criativo em vídeo com copy 1 e CTA para WhatsApp.,DESIGN,2025-10-20,2025-10-20,"creatives,video,whatsapp",Campanha WhatsApp — Mensagens
Anúncio 2 — Imagem + texto 2 + CTA WhatsApp,Criar imagem estática com copy 2 e CTA para WhatsApp.,DESIGN,2025-10-20,2025-10-20,"creatives,image,whatsapp",Campanha WhatsApp — Mensagens
Anúncio 3 — Carrossel + texto 3 + CTA WhatsApp,Criar carrossel com copy 3 e CTA para WhatsApp.,DESIGN,2025-10-20,2025-10-20,"creatives,carousel,whatsapp",Campanha WhatsApp — Mensagens
Configurar Pixel Meta,"Nome: Pixel de Vermezzo - Original
ID do Pixel: 343981593131346
Conta do Anúncio: Vermezzo – Oficial 2025 (ID: 1818323141087)
Site vinculado: www.vermezzo.com.br
Página do Facebook: 211443329551349
Instagram: 17841408314288323",IDEIA,2025-10-20,2025-10-20,"pixel,meta,vermezzo",
Validar Pixel Meta — eventos,"O GTM (GTM-N8PFFF7J) está ativo e carrega em todas as páginas.
Evento view_item aparece nas páginas de produto — esperado.
Aviso Domínio desconhecido: whatsapp.com é normal ao sair para o WhatsApp.",AVALIAÇÃO,2025-10-20,2025-10-20,"pixel,qa,gtm",
Configurar GA4 — Fluxo e Métrica,"Site Vermezzo — Original
URL do Fluxo: https://vermezzo.com.br
Código do Fluxo: 11526217206
ID da Métrica (GA4): G-FCC95TVZZ9",IDEIA,2025-10-20,2025-10-20,"analytics,ga4,setup",
Validar GTM — GA4 e Google Ads,"GTM: GTM-N8PFFF7J
Tag GA4 ativa: G-FCC95TVZ29
Tags Google Ads: AW-1988032294 + Vinculador (Conversion Linker)
Verificar firing em todas as páginas.",AVALIAÇÃO,2025-10-20,2025-10-20,"gtm,ga4,ads",
Central de Assets — Drive,Pasta de assets e materiais: https://drive.google.com/drive/folders/1CW4zimagBD1syVRfbhSuH1NC5drzVZPt,IDEIA,2025-10-20,2025-10-20,"assets,drive,vermezzo",
Tray — Loja Vermezzo,"Plataforma TrayCommerce
Tray ID: 1391056",IDEIA,2025-10-20,2025-10-20,"tray,infra,vermezzo",
CRIAR BANNER 60x80cm — Vermezzo,Verificar imagem do banner,DESIGN,2025-10-20,2025-10-20,"design,banner,vermezzo",
CRIAR FLYER 10x15cm — Vermezzo,Verificar imagem do flyer,DESIGN,2025-10-20,2025-10-20,"design,flyer,vermezzo",
CRIAR ANÚNCIO LIVE 20/10,Cancelado,CONCLUÍDO,2025-10-20,2025-10-20,"live,cancelado,vermezzo",
